,Overall,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,Total,,,,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,
Seg_size,8950,1426,2924,813,617,1245,1925,8950,,,Seg_size,,,,,,,
Seg_Pct,1,0.159329609,0.326703911,0.090837989,0.068938547,0.139106145,0.215083799,1,,,Seg_Pct,,,,,,,
BALANCE,1452.399593,3205.52446,1145.503376,2225.072486,1427.68607,1094.822164,532.7411812,9631.349738,,,BALANCE,0.332821935,0.118934875,0.231023953,0.148233229,0.113672766,0.055313242,1
BALANCE_FREQUENCY,0.883252012,0.925215882,0.849845083,0.974041961,0.958967157,0.92346282,0.814291207,5.445824111,,,BALANCE_FREQUENCY,0.169894558,0.156054449,0.178860342,0.176092202,0.169572649,0.1495258,1
PURCHASES,823.8630219,284.2389481,197.0140766,3538.194047,2033.78573,1243.77502,370.0169818,7667.024804,,,PURCHASES,0.037072914,0.025696288,0.461482014,0.265264008,0.162223946,0.04826083,1
ONEOFF_PURCHASES,447.9487298,176.6712539,134.6502155,2299.331235,344.6945705,1029.283414,0,3984.630688,,,ONEOFF_PURCHASES,0.044338175,0.033792395,0.577050024,0.086506027,0.258313378,0,1
INSTALLMENTS_PURCHASES,336.3360402,106.1037868,62.50103625,1010.294001,1419.123173,213.1445462,370.8143117,3181.980854,,,INSTALLMENTS_PURCHASES,0.0333452,0.019642179,0.317504739,0.445987339,0.066984861,0.116535683,1
CASH_ADVANCE,817.1611457,3400.441047,447.0036903,588.0593509,356.5721232,184.7690566,119.1635341,5096.008802,,,CASH_ADVANCE,0.667275348,0.087716428,0.115396063,0.069970861,0.036257602,0.023383699,1
PURCHASES_FREQUENCY,0.490350548,0.219294836,0.189220234,0.919365124,0.916771806,0.721534458,0.681163926,3.647350384,,,PURCHASES_FREQUENCY,0.060124423,0.05187882,0.252063835,0.25135282,0.197824278,0.186755824,1
ONEOFF_PURCHASES_FREQUENCY,0.202457684,0.095035552,0.086657613,0.744236478,0.183467846,0.566124333,0,1.675521821,,,ONEOFF_PURCHASES_FREQUENCY,0.056719973,0.051719776,0.444181907,0.10949893,0.337879415,0,1
PURCHASES_INSTALLMENTS_FREQUENCY,0.364437342,0.136093407,0.111731365,0.695445515,0.873517143,0.318120288,0.64442881,2.779336527,,,PURCHASES_INSTALLMENTS_FREQUENCY,0.048966149,0.040200733,0.250219975,0.314289808,0.114459075,0.231864261,1
CASH_ADVANCE_FREQUENCY,0.127637427,0.396066503,0.123565919,0.084553384,0.05815124,0.047384412,0.027346794,0.737068252,,,CASH_ADVANCE_FREQUENCY,0.537353904,0.167645152,0.114715813,0.078895326,0.064287686,0.037102119,1
CASH_ADVANCE_TRX,2.731731844,9.364656381,2.282831737,1.969249692,1.241491086,0.866666667,0.505974026,16.23086959,,,CASH_ADVANCE_TRX,0.576965783,0.140647531,0.12132743,0.076489499,0.053396194,0.031173562,1
PURCHASES_TRX,12.68402235,4.390603086,3.251367989,44.39606396,31.0713128,18.32690763,10.21922078,111.6554762,,,PURCHASES_TRX,0.039322774,0.029119646,0.397616538,0.278278449,0.16413801,0.091524582,1
CREDIT_LIMIT,4366.50035,6158.558587,3278.70991,7347.355474,4965.559157,4800.612389,2959.591368,29510.38689,,,CREDIT_LIMIT,0.208691218,0.111103589,0.248975234,0.168264794,0.162675346,0.100289819,1
PAYMENTS,1479.577413,2406.898699,868.8950837,3740.063724,2157.05974,1330.862486,644.5868138,11148.36655,,,PAYMENTS,0.215896983,0.077939228,0.335480871,0.193486618,0.119377353,0.057818947,1
MINIMUM_PAYMENTS,631.8102321,1122.738966,511.3774122,830.9110505,823.8745467,467.6987055,411.5647224,4168.165404,,,MINIMUM_PAYMENTS,0.269360464,0.122686449,0.199346948,0.197658794,0.112207329,0.098740017,1
PRC_FULL_PAYMENT,0.153714648,0.045212724,0.064923475,0.290130282,0.256067088,0.181540494,0.260545087,1.098419149,,,PRC_FULL_PAYMENT,0.041161631,0.059106284,0.264134399,0.233123292,0.165274335,0.237200059,1
TENURE,11.58413408,11.25385694,11.61149111,11.83394834,11.82658023,11.68353414,11.53974026,69.74915101,,,TENURE,0.161347583,0.166475017,0.169664407,0.16955877,0.167507905,0.165446319,1
Monthly_avg_purchase,71.03092943,25.84522766,17.09889865,300.6866504,173.1884752,107.9480781,32.81218224,657.5795123,,,Monthly_avg_purchase,0.039303578,0.026002785,0.457262802,0.263372675,0.164159734,0.049898425,1
Monthly_cash_advance,73.6365779,309.8534543,39.58544597,51.15167011,30.50719083,16.05835619,10.93330093,458.0894184,,,Monthly_cash_advance,0.676403868,0.086414234,0.111663069,0.066596585,0.035055069,0.023867176,1
limit_usage,0.38397864,0.572378463,0.450430392,0.326331308,0.33329701,0.309966705,0.231936893,2.224340769,,,limit_usage,0.257324988,0.202500623,0.146709224,0.149840804,0.139352166,0.104272194,1
purchase_type_Installment_Purchases,0.252513966,0.100981767,0,0,0.309562399,0,1,1.410544166,,,purchase_type_Installment_Purchases,0.071590645,0,0,0.219463102,0,0.708946252,1
purchase_type_None,0.228156425,0.53085554,0.439466484,0,0,0,0,0.970322024,,,purchase_type_None,0.547092127,0.452907873,0,0,0,0,1
purchase_type_One_Of,0.209385475,0.209677419,0.326949384,0.119311193,0,0.419277108,0,1.075215105,,,purchase_type_One_Of,0.195009741,0.304078117,0.110964953,0,0.38994719,0,1
