,N,NMISS,SUM,MEAN,MEDIAN,STD,VAR,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
BALANCE,8950,0,14002049.71,1564.474828,873.385231,2081.531879,4332774.965,0,0.06510059,8.81451835,23.5755288,128.2819155,873.385231,2054.140036,4338.563657,5909.111808,9338.804814,19043.13856
BALANCE_FREQUENCY,8950,0,7851.572994,0.877270726,1,0.236904003,0.056123506,0,0.090909,0.272727,0.454545,0.888889,1,1,1,1,1,1
CASH_ADVANCE,8950,0,8760896.457,978.8711125,0,2097.163877,4398096.325,0,0,0,0,0,0,1113.821139,3065.53456,4647.169122,9588.163357,47137.21176
CASH_ADVANCE_FREQUENCY,8950,0,1209.540593,0.1351442,0,0.200121388,0.04004857,0,0,0,0,0,0,0.222222,0.416667,0.583333,0.833333,1.5
CASH_ADVANCE_TRX,8950,0,29077,3.248826816,0,6.824646744,46.57580318,0,0,0,0,0,0,4,10,15,29,123
CREDIT_LIMIT,8949,1,40220828.13,4494.44945,3000,3638.815725,13240979.88,50,500,1000,1200,1600,3000,6500,9500,12000,17000,30000
INSTALLMENTS_PURCHASES,8950,0,3679055.42,411.0676447,89,904.3381152,817827.4266,0,0,0,0,0,89,468.6375,1140.07,1750.0875,3886.2405,22500
MINIMUM_PAYMENTS,8637,313,7464151.906,864.2065423,312.343947,2372.446607,5628502.901,0.019163,19.52447752,73.2820058,106.0348636,169.123707,312.343947,825.485459,1780.651744,2766.56331,9034.098737,76406.20752
ONEOFF_PURCHASES,8950,0,5302314.47,592.4373709,38,1659.887917,2755227.898,0,0,0,0,0,38,577.405,1600.099,2671.094,6689.8982,40761.25
ONEOFF_PURCHASES_FREQUENCY,8950,0,1811.996268,0.202457684,0.083333,0.298336065,0.089004408,0,0,0,0,0,0.083333,0.3,0.75,1,1,1
PAYMENTS,8950,0,15511637.48,1733.143852,856.901546,2895.063757,8381394.157,0,0,89.98892395,179.617069,383.276166,856.901546,1901.134317,3923.906642,6082.090595,13608.71554,50721.48336
PRC_FULL_PAYMENT,8950,0,1375.746104,0.153714648,0,0.292499196,0.08555578,0,0,0,0,0,0,0.142857,0.6700003,1,1,1
PURCHASES,8950,0,8978683.26,1003.204834,361.28,2136.634782,4565208.191,0,0,0,0,39.635,361.28,1110.13,2542.624,3998.6195,8977.29,49039.57
PURCHASES_FREQUENCY,8950,0,4388.637408,0.490350548,0.5,0.401370747,0.161098477,0,0,0,0,0.083333,0.5,0.916667,1,1,1,1
PURCHASES_INSTALLMENTS_FREQUENCY,8950,0,3261.714207,0.364437342,0.166667,0.39744778,0.157964738,0,0,0,0,0,0.166667,0.75,1,1,1,1
PURCHASES_TRX,8950,0,131653,14.7098324,7,24.85764911,617.9027193,0,0,0,0,1,7,17,37,57,116.51,358
TENURE,8950,0,103080,11.51731844,12,1.338330769,1.791129248,6,6,8,10,12,12,12,12,12,12,12
