,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9
"('limit_usage',)",-0.18695062,0.361963691,-0.012140017,-0.57111107,0.646145117,-0.165103491,-0.009084968,0.137101803,-0.193760333,0.009317097
"('PAYMENTS',)",0.414491314,0.525417486,0.093866952,-0.060796644,-0.116780992,0.131213424,-0.027662706,-0.063465465,0.005500266,0.008439402
"('CASH_ADVANCE',)",-0.310662933,0.940785077,0.021708721,0.061527389,-0.104943707,-0.00412088,0.018981735,-0.001399531,-0.040284167,-0.001296108
"('Monthly_cash_advance',)",-0.315518174,0.930517372,0.016871521,0.127728716,-0.054462454,-0.01285012,0.012309893,0.003577894,-0.044582553,0.000398768
"('CASH_ADVANCE_FREQUENCY',)",-0.321717653,0.722812737,-0.043985194,-0.049485235,0.146867469,-0.018150822,-0.272130261,0.336906038,0.385295103,0.035675746
"('CASH_ADVANCE_TRX',)",-0.286595619,0.747577177,-0.021880934,-0.056928969,0.054280338,-0.023801607,-0.187617001,0.299470954,0.301398778,0.039183352
"('BALANCE',)",0.006521867,0.67418484,0.024376432,-0.427695804,0.335136779,-0.098188187,0.221202638,-0.328751276,0.272305575,-0.012442297
"('ONEOFF_PURCHASES',)",0.849208564,0.196388806,-0.228811135,-0.005128899,0.079211361,0.313259825,0.101837443,0.056811997,0.012174725,-0.071099205
"('PURCHASES',)",0.96656417,0.174220306,0.138649477,0.001591783,0.03624698,0.117071351,0.011371377,0.014406212,-0.00238066,-0.007410657
"('Monthly_avg_purchase',)",0.960818387,0.176115587,0.134004389,0.050975946,0.074996033,0.109710457,0.019950647,0.017163944,-0.002972698,-0.001562788
"('ONEOFF_PURCHASES_FREQUENCY',)",0.764200692,0.131599168,-0.612953086,0.008036957,-0.039835669,-0.135110081,-0.036079219,-0.01585441,-0.006201826,-0.000255873
"('PURCHASES_TRX',)",0.834578108,0.095002091,0.081941356,-0.033607527,-0.057620579,-0.271867621,0.003341465,0.040191383,0.013977122,-0.179109456
"('INSTALLMENTS_PURCHASES',)",0.6955743,0.051557393,0.567250787,0.016490296,-0.078159856,-0.370683327,-0.164808634,-0.078755786,-0.014879517,0.103901713
"('PURCHASES_FREQUENCY',)",0.674482719,-0.114108613,0.102038718,0.103270315,-0.147645059,-0.504986316,0.246956008,0.163959475,0.026217868,-0.268730222
"('purchase_type_None',)",-0.498344361,0.243199531,-0.000942676,-0.100503102,0.183788159,0.292186691,-0.611067068,-0.278982093,-0.053700771,-0.306379382
"('purchase_type_One_Of',)",-0.020752072,-0.033238522,-0.436394869,0.005074555,0.029510932,0.224222626,0.27427516,0.094017229,-0.014236364,0.518739916
"('TENURE',)",0.144867403,-0.067785563,0.032433064,-0.792256396,-0.575280294,0.08644849,-0.022560687,0.035928187,-0.003777679,-0.003117515
"('CREDIT_LIMIT',)",0.295986507,0.419540221,-0.029487368,-0.052311173,-0.196339725,0.050688011,0.16059039,-0.428507716,0.362398776,0.017428012
"('PRC_FULL_PAYMENT',)",0.260812922,-0.190472373,0.055676761,0.291320111,-0.286326548,-0.009412349,-0.06418975,-0.00207745,-0.004357608,-0.05278605
"('MINIMUM_PAYMENTS',)",0.016944199,0.489577739,0.117711448,-0.437317164,0.318791997,-0.147808576,0.205864807,-0.18746887,0.095660469,0.019393159
"('BALANCE_FREQUENCY',)",0.180630924,0.232000237,-0.025466755,-0.347692375,0.235776957,-0.245931562,-0.026713479,0.099687136,-0.007360598,-0.156165604
"('purchase_type_Installment_Purchases',)",-0.149064791,-0.302738228,0.436929266,0.116932664,-0.149908298,-0.249739082,0.316090327,0.120167089,0.022729925,-0.083169273
"('PURCHASES_INSTALLMENTS_FREQUENCY',)",0.494830763,-0.125910182,0.469274927,0.07114247,-0.144886659,-0.525321107,0.177758116,0.145974421,0.044008664,-0.386478691
